Install dependencies (Discharge Gatekeeper MCP)|npm --prefix po-community-mcp-main/typescript ci|green|4065|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/00-npm-ci-typescript.log
Install dependencies (Clinical Intelligence MCP)|npm --prefix po-community-mcp-main/clinical-intelligence-typescript ci|green|2231|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/00-npm-ci-clinical-intelligence.log
Install dependencies (external A2A orchestrator)|npm --prefix po-community-mcp-main/external-a2a-orchestrator-typescript ci|green|2193|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/00-npm-ci-external-a2a.log
Full system validation|./po-community-mcp-main/scripts/run-full-system-validation.sh|green|36622|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/01-run-full-system-validation.log
Boot two MCP runtimes|./po-community-mcp-main/scripts/start-two-mcp-local.sh|green|1434|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/02-start-two-mcp-local.log
Boot external A2A runtime|./po-community-mcp-main/scripts/start-a2a-local.sh|green|1435|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/03-start-a2a-local.log
Two-MCP readiness check|./po-community-mcp-main/scripts/check-two-mcp-readiness.sh|green|337|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/04-check-two-mcp-readiness.log
A2A readiness check|./po-community-mcp-main/scripts/check-a2a-readiness.sh|green|498|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/05-check-a2a-readiness.log
Prompt Opinion rehearsal smoke|PROMPT_OPINION_E2E_OUTPUT_DIR='/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e' PROMPT_OPINION_E2E_RUN_ID='20260421T203407Z' npm --prefix po-community-mcp-main/external-a2a-orchestrator-typescript run smoke:prompt-opinion-rehearsal|green|2227|/Users/arshdeepsingh/Developer/ctc-phase6-po-rehearsal/output/prompt-opinion-e2e/runs/20260421T203407Z/logs/06-smoke-prompt-opinion-rehearsal.log
